research_question,query_id,target_query,generated_query,bertscore_precision,bertscore_recall,bertscore_f1
How to protect the slag line from the electric arc's radiation in a ladle furnace?,2,magnesia carbon brick slag line composition antioxidant aluminum silicon,ladle furnace slag foaming carbon injection MgO-C refractory temperature control,0.8439152836799622,0.8691411018371582,0.8563424944877625
How to protect the slag line from the electric arc's radiation in a ladle furnace?,3,ladle furnace long arc submerged arc slag cover electrode,ladle furnace slag line arc radiation protection refractory coating application,0.8945735692977905,0.922295868396759,0.9082232117652893
How to protect the slag line from the electric arc's radiation in a ladle furnace?,4,MgO saturation slag ladle refractory dolomite addition,water-cooled panels ladle furnace slag line arc radiation protection refractory,0.8820076584815979,0.8590642213821411,0.8703847527503967
How to protect the slag line from the electric arc's radiation in a ladle furnace?,5,"""slag splashing"" BOF magnesia coating refractory lining life",ladle furnace slag radiation reflectivity thermal diffusivity refractory brick composition,0.8382749557495117,0.8546909093856812,0.8464033603668213
How to protect the slag line from the electric arc's radiation in a ladle furnace?,6,"""ladle furnace"" refractory ""slag line"" carbon content 15% 20% MgO-C brick",ladle furnace arc radiation slag line refractory thermal conductivity MgO-C brick microstructure,0.9089335203170776,0.9087359309196472,0.9088347554206848
How to protect the slag line from the electric arc's radiation in a ladle furnace?,7,"""ladle furnace"" arc radiation slag line refractory wear secondary steelmaking",ladle furnace slag line arc radiation protection refractory coating thickness application,0.9229787588119507,0.919437825679779,0.9212049245834351
How to protect the slag line from the electric arc's radiation in a ladle furnace?,8,RHI Magnesita ladle slag line MgO-C brick ANKRAL,ladle furnace electrode positioning arc radiation shielding refractory slag line patent,0.846556544303894,0.8345788717269897,0.8405250906944275
How to protect the slag line from the electric arc's radiation in a ladle furnace?,9,0: ladle slag basicity CaO SiO2 ratio MgO saturation refractory protection,ladle furnace slag line refractory thermal shock resistance arc radiation MgO-C brick microstructure,0.877203106880188,0.8750106692314148,0.876105546951294
How to protect the slag line from the electric arc's radiation in a ladle furnace?,10,"""resin bonded"" ""pitch bonded"" magnesia carbon brick comparison ladle",ladle furnace arc radiation shielding refractory coating MgO-C brick thermal barrier,0.8239660859107971,0.8314667344093323,0.8276994228363037
How to protect the slag line from the electric arc's radiation in a ladle furnace?,11,"""foamy slag"" ladle furnace carbon injection long arc protection",ladle furnace arc radiation refractory degradation resin bonded MgO-C brick temperature profile,0.8374648690223694,0.8539184927940369,0.8456116914749146
How to protect the slag line from the electric arc's radiation in a ladle furnace?,12,"""ladle metallurgy"" arc impingement refractory damage electrode misalignment",ladle furnace foamy slag carbon injection rate kg/min CO gas generation foam height,0.8369401097297668,0.8462784290313721,0.8415834307670593
