index,research_question,query_id,target_query,context_v1_prediction,context_v1_f1,context_v1_jaccard,context_prompt_v2_prediction,context_prompt_v2_f1,context_prompt_v2_jaccard,context_retrieval_fewshot_v2_prediction,context_retrieval_fewshot_v2_f1,context_retrieval_fewshot_v2_jaccard,delta_v2_minus_v1,delta_v2_minus_retrieval
10,What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,9,Post combustion heat transfer efficiency increases scrap melting CO2 to CO ratio bath surface distance trials,BOF high scrap ratio lance height dynamic adjustment schedule 1.2 to 2.0 meters,0.19354838709677422,0.1111111111111111,BOF lance height dynamic adjustment strategy scrap ratio 25% blow start 1.2 m end 2.0 m skull reduction,0.11111111111111112,0.0625,BOF lance height 1.8 m Mach 2.0 4-hole nozzle scrap >25% skull index PCR,0.0625,0.03225806451612903,-0.0824372759856631,0.04861111111111112
11,What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,10,BOF lance height range meters above bath converter typical operating,Effect of lance tip swirl angle on skull formation and PCR in high scrap BOF,0.16,0.08695652173913043,lance swirl angle 15 degrees skull reduction post combustion BOF high scrap ratio trials,0.16666666666666666,0.09090909090909091,lance tip swirl angle skull reduction post-combustion BOF high scrap,0.20000000000000004,0.1111111111111111,0.006666666666666654,-0.03333333333333338
12,What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,11,Skull formation BOF lance causes FeO slag basicity low temperature solid slag prevention MgO,BOF high scrap ratio lance height optimization post-combustion efficiency skull prevention trials,0.30769230769230765,0.19047619047619047,lance nozzle angle degrees Laval design skull prevention high scrap BOF trials,0.30769230769230765,0.19047619047619047,lance tip nozzle angle degrees BOF skull prevention post-combustion efficiency,0.3333333333333333,0.21052631578947367,0.0,-0.02564102564102566
13,What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,12,Bottom stirring improves scrap melting carbon oxygen equilibrium reduces FeO BOF,BOF lance nozzle design supersonic jet penetration depth high scrap charge,0.18181818181818182,0.1,lance nozzle configuration multi-hole design angle spacing BOF high scrap ratio skull reduction post-combustion efficiency,0.15384615384615383,0.08333333333333333,BOF lance nozzle angle configuration skull prevention high scrap ratio,0.1904761904761905,0.10526315789473684,-0.027972027972027996,-0.036630036630036666
14,What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,13,Double flow post combustion lance tip life doubled scrap consumption increase trials,BOF lance configuration high scrap ratio post-combustion efficiency nozzle angle design,0.17391304347826086,0.09523809523809523,BOF lance nozzle configuration multi-hole design angle spacing high scrap ratio post-combustion efficiency,0.16,0.08695652173913043,BOF lance skull prevention FeO content slag basicity MgO saturation,0.0909090909090909,0.047619047619047616,-0.013913043478260861,0.0690909090909091
15,What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,14,Lance height increase higher post combustion ratio FeO foamy slag PCR converter,BOF high scrap ratio lance height secondary oxygen flow CFD simulation optimization,0.25,0.14285714285714285,CFD simulation post-combustion lance swirl number 0.5 secondary oxygen 3% BOF scrap melting,0.07692307692307691,0.04,BOF dual-flow lance secondary oxygen 3% PCR 0.17 scrap 28% lance height,0.24000000000000002,0.14285714285714285,-0.17307692307692307,-0.16307692307692312
16,What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,15,Optimization swirl flow post-combustion oxygen lance parameters CFD 260-ton converter,lance height vs skull formation BOF high scrap ratio trials,0.10000000000000002,0.05263157894736842,Swirl number 0.5 secondary oxygen 3% BOF lance tip temperature skull reduction plant trials,0.24,0.13636363636363635,lance tip cooling water flow rate skull formation BOF high scrap,0.1904761904761905,0.10526315789473684,0.13999999999999996,0.0495238095238095
17,What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,16,Variation Multiphase Flow Single-Flow Post-combustion Oxygen Lance BOF Steelmaking,Impact of lance tip nozzle geometry on skull formation and post-combustion in high scrap BOF,0.25,0.14285714285714285,Swirl number 0.5 secondary oxygen 3% lance tip design BOF trials scrap ratio 30%,0.25,0.14285714285714285,BOF lance tip design double flow post-combustion scrap melting,0.4444444444444444,0.2857142857142857,0.0,-0.19444444444444442
18,What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,17,Post-combustion oxygen secondary 3% total oxygen flow LD3 trials,BOF lance swirl number 0.5 secondary oxygen flow 3% high scrap ratio trials,0.43478260869565216,0.29411764705882354,Swirl number 0.5 secondary oxygen 3% lance height 1.8 m scrap rate 27% plant trials BOF,0.2962962962962963,0.18181818181818182,post-combustion lance secondary oxygen flow rate 3% skull reduction BOF,0.5263157894736842,0.38461538461538464,-0.13848631239935588,-0.2300194931773879
19,What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,18,LD3 post-combustion lance secondary oxygen 3% total oxygen flow rate trials,Effect of lance tip design on skull formation in high scrap BOF converters,0.08333333333333334,0.045454545454545456,secondary oxygen lance swirl number 0.5 skull reduction 260-ton BOF plant trials,0.33333333333333337,0.21052631578947367,lance tip cooling water flow rate skull formation BOF high scrap,0.2727272727272727,0.16666666666666666,0.25,0.06060606060606066
20,How to protect the slag line from the electric arc's radiation in a ladle furnace?,1,foamy slag practice EAF arc shielding refractory protection,ladle furnace electric arc radiation shielding techniques slag line,0.35294117647058826,0.21428571428571427,foamy slag practice electric arc furnace radiation shielding ladle furnace,0.5555555555555556,0.4166666666666667,ladle furnace electric arc radiation shielding slag line refractory,0.47058823529411764,0.3076923076923077,0.20261437908496732,0.08496732026143794
21,How to protect the slag line from the electric arc's radiation in a ladle furnace?,2,magnesia carbon brick slag line composition antioxidant aluminum silicon,ladle furnace slag line protection refractory materials besides MgO-C bricks,0.2105263157894737,0.11764705882352941,ladle furnace slag foaming carbon injection MgO-C refractory temperature control,0.2105263157894737,0.11764705882352941,ladle furnace LF foamy slag carbon injection arc radiation,0.2222222222222222,0.125,0.0,-0.01169590643274851
22,How to protect the slag line from the electric arc's radiation in a ladle furnace?,3,ladle furnace long arc submerged arc slag cover electrode,ladle furnace slag line arc radiation protection methods,0.47058823529411764,0.3333333333333333,ladle furnace slag line arc radiation protection refractory coating application,0.4210526315789474,0.2857142857142857,ladle furnace arc radiation shielding slag line refractory design,0.4444444444444444,0.3076923076923077,-0.04953560371517024,-0.02339181286549702
23,How to protect the slag line from the electric arc's radiation in a ladle furnace?,4,MgO saturation slag ladle refractory dolomite addition,ladle furnace slag line radiation protection patents shielding cover,0.25,0.14285714285714285,water-cooled panels ladle furnace slag line arc radiation protection refractory,0.3529411764705882,0.21428571428571427,ladle furnace slag line arc radiation MgO-C brick thermal shock resistance,0.2222222222222222,0.125,0.1029411764705882,0.130718954248366
24,How to protect the slag line from the electric arc's radiation in a ladle furnace?,5,"""slag splashing"" BOF magnesia coating refractory lining life",ladle furnace slag radiation shielding thermal diffusivity refractory bricks,0.23529411764705882,0.13333333333333333,ladle furnace slag radiation reflectivity thermal diffusivity refractory brick composition,0.22222222222222224,0.125,ladle furnace arc radiation slag line protection thermal diffusivity brick,0.11111111111111112,0.058823529411764705,-0.013071895424836583,0.11111111111111112
25,How to protect the slag line from the electric arc's radiation in a ladle furnace?,6,"""ladle furnace"" refractory ""slag line"" carbon content 15% 20% MgO-C brick",ladle furnace slag line arc radiation MgO-C brick thermal conductivity optimization,0.5454545454545454,0.375,ladle furnace arc radiation slag line refractory thermal conductivity MgO-C brick microstructure,0.6086956521739131,0.4375,ladle furnace slag foaming arc radiation shielding practice,0.3157894736842105,0.1875,0.06324110671936767,0.2929061784897026
26,How to protect the slag line from the electric arc's radiation in a ladle furnace?,7,"""ladle furnace"" arc radiation slag line refractory wear secondary steelmaking",ladle furnace slag line radiation protection refractory coating materials,0.631578947368421,0.46153846153846156,ladle furnace slag line arc radiation protection refractory coating thickness application,0.6666666666666666,0.5,ladle furnace arc radiation shielding slag coating thickness,0.5555555555555556,0.38461538461538464,0.03508771929824561,0.11111111111111105
27,How to protect the slag line from the electric arc's radiation in a ladle furnace?,8,RHI Magnesita ladle slag line MgO-C brick ANKRAL,ladle furnace slag line radiation shielding refractory patent methods,0.35294117647058826,0.21428571428571427,ladle furnace electrode positioning arc radiation shielding refractory slag line patent,0.3157894736842105,0.1875,ladle furnace arc radiation shielding refractory coating sacrificial layer,0.11764705882352941,0.0625,-0.03715170278637775,0.1981424148606811
28,How to protect the slag line from the electric arc's radiation in a ladle furnace?,9,0: ladle slag basicity CaO SiO2 ratio MgO saturation refractory protection,ladle furnace slag line refractory cooling system design,0.3157894736842105,0.1875,ladle furnace slag line refractory thermal shock resistance arc radiation MgO-C brick microstructure,0.24999999999999994,0.14285714285714285,ladle furnace arc radiation MgO-C brick carbon content 20%,0.09999999999999999,0.05263157894736842,-0.06578947368421056,0.14999999999999997
29,How to protect the slag line from the electric arc's radiation in a ladle furnace?,10,"""resin bonded"" ""pitch bonded"" magnesia carbon brick comparison ladle",electric arc furnace slag foaming for ladle furnace radiation shielding,0.10526315789473685,0.0625,ladle furnace arc radiation shielding refractory coating MgO-C brick thermal barrier,0.19999999999999998,0.11764705882352941,ladle furnace arc radiation slag line refractory protection MgO saturation,0.10526315789473685,0.058823529411764705,0.09473684210526313,0.09473684210526313
30,How to protect the slag line from the electric arc's radiation in a ladle furnace?,11,"""foamy slag"" ladle furnace carbon injection long arc protection",resin bonded MgO-C brick arc radiation resistance mechanism,0.11764705882352941,0.0625,ladle furnace arc radiation refractory degradation resin bonded MgO-C brick temperature profile,0.28571428571428575,0.16666666666666666,ladle furnace arc radiation slag line refractory coating thickness,0.4444444444444444,0.2857142857142857,0.16806722689075634,-0.15873015873015867
31,How to protect the slag line from the electric arc's radiation in a ladle furnace?,12,"""ladle metallurgy"" arc impingement refractory damage electrode misalignment",ladle furnace slag line protection refractory materials beyond MgO-C bricks,0.22222222222222224,0.125,ladle furnace foamy slag carbon injection rate kg/min CO gas generation foam height,0.09090909090909091,0.047619047619047616,ladle furnace slag line radiation protection refractory coating materials,0.23529411764705882,0.13333333333333333,-0.13131313131313133,-0.1443850267379679
